average_temperature,max_temperature,min_temperature,rainfall,rain_type,snow_depth,snow_type,sunshine_hours,average_wind_speed,max_wind_speed,gusts,date
12.4,14.6,11.6,0.0,,0,0,0.0,2.6,3.7,5.6,2021-08-19
11.5,13.6,9.3,0.0,,0,0,1.0,2.4,4.7,7.1,2021-08-20
10.9,14.0,9.3,0.0,,0,0,0.2,2.5,4.9,8.8,2021-08-21
12.8,15.6,9.3,5.1,ri,0,0,0.4,3.8,7.9,12.4,2021-08-22
15.1,16.8,12.8,1.7,ri,0,0,0.1,5.2,9.2,16.0,2021-08-23
15.6,17.5,14.2,0.0,,0,0,0.1,4.6,7.2,11.3,2021-08-24
14.1,16.4,13.1,0.0,,0,0,0.0,5.8,8.3,13.6,2021-08-25
12.9,15.4,11.0,4.1,ri,0,0,1.1,4.2,8.0,13.4,2021-08-26
12.8,14.4,12.1,0.5,ri,0,0,1.6,7.7,11.2,18.8,2021-08-27
10.6,13.0,9.2,4.1,ri,0,0,0.1,4.0,6.7,12.2,2021-08-28
11.2,12.5,10.2,0.3,ri,0,0,0.3,4.1,6.1,10.3,2021-08-29
12.0,13.0,11.0,10.3,ri,0,0,0.0,3.9,5.3,9.2,2021-08-30
13.2,16.5,12.0,0.5,ri,0,0,0.8,3.4,5.0,8.7,2021-08-31
12.5,14.6,11.2,0.2,ri,0,0,0.0,3.3,4.8,9.3,2021-09-01
13.0,14.3,12.0,0.0,,0,0,0.0,2.3,4.3,7.0,2021-09-02
13.5,15.1,12.3,0.0,,0,0,0.0,4.4,6.2,10.4,2021-09-03
13.0,14.0,12.4,0.3,ri,0,0,0.1,7.3,11.8,21.5,2021-09-04
10.1,13.2,9.2,7.7,ri,0,0,4.2,4.4,8.3,13.9,2021-09-05
9.9,11.9,8.8,2.2,ri,0,0,0.0,2.2,4.8,8.5,2021-09-06
10.1,12.6,8.3,9.9,ri,0,0,5.3,2.9,4.9,8.2,2021-09-07
9.2,12.0,7.1,0.5,ri,0,0,1.4,3.1,6.8,10.4,2021-09-08
10.1,12.3,8.2,0.1,ri,0,0,1.0,2.2,4.3,6.9,2021-09-09
9.5,11.2,9.1,0.1,ri,0,0,0.1,2.2,4.7,7.9,2021-09-10
9.4,12.1,8.2,4.3,ri,0,0,3.7,1.8,3.8,5.6,2021-09-11
10.3,11.7,7.3,1.4,ri,0,0,0.0,6.9,12.4,20.5,2021-09-12
10.0,12.9,6.3,18.6,ri,0,0,2.2,7.5,11.1,20.4,2021-09-13
8.5,11.1,6.5,6.2,ri,0,0,1.7,5.4,8.0,15.9,2021-09-14
10.6,14.6,7.0,1.1,ri,0,0,4.7,3.5,7.4,13.8,2021-09-15
9.9,13.1,8.3,6.0,ri,0,0,0.0,2.8,7.7,12.4,2021-09-16
7.2,9.7,6.6,5.3,ri,0,0,3.7,3.2,6.3,11.7,2021-09-17
7.5,9.8,4.6,1.3,ri,0,0,0.4,2.4,5.7,9.2,2021-09-18
9.3,12.4,7.9,12.9,ri,0,0,4.8,4.3,9.3,15.1,2021-09-19
8.8,11.0,7.9,11.6,ri,0,0,0.5,4.3,9.5,16.8,2021-09-20
6.4,12.8,4.5,6.1,ri,0,0,0.4,6.7,11.3,22.6,2021-09-21
3.7,6.4,0.8,7.7,sl,0,0,3.0,3.3,10.8,18.6,2021-09-22
3.8,4.9,2.0,8.2,sl,0,0,0.0,4.0,9.6,15.8,2021-09-23
5.2,8.3,1.5,6.6,sl,0,0,6.8,3.4,5.6,9.4,2021-09-24
5.5,8.1,3.4,0.0,,0,0,0.9,4.1,6.5,12.3,2021-09-25
5.8,7.0,3.8,0.0,,0,0,0.0,6.8,8.9,18.2,2021-09-26
3.4,6.8,2.8,0.0,,0,0,2.6,7.5,10.4,18.6,2021-09-27
2.8,5.3,-0.4,0.0,,0,0,0.0,6.3,10.9,20.0,2021-09-28
4.8,6.8,3.1,4.1,sl,0,0,4.2,7.4,11.3,19.0,2021-09-29
6.0,9.4,2.7,2.0,ri,0,0,1.0,3.8,7.6,14.6,2021-09-30
7.0,11.5,5.0,0.0,,0,0,5.1,4.5,9.5,18.6,2021-10-01
6.4,9.2,5.1,0.0,,0,0,4.4,4.1,10.1,16.1,2021-10-02
6.9,10.8,4.4,1.1,ri,0,0,5.7,4.2,9.9,17.6,2021-10-03
4.6,9.6,3.1,0.0,,0,0,9.1,4.2,9.0,15.6,2021-10-04
5.2,8.3,1.5,0.0,,0,0,4.6,2.2,4.4,8.2,2021-10-05
6.2,8.9,4.0,0.1,ri,0,0,6.8,3.9,7.8,12.4,2021-10-06
8.9,10.4,5.9,0.1,ri,0,0,0.0,7.6,11.6,19.3,2021-10-07
9.7,12.2,8.3,3.2,ri,0,0,1.2,5.5,9.8,16.1,2021-10-08
7.5,10.3,6.4,6.6,ri,0,0,0.0,3.1,6.3,10.0,2021-10-09
5.1,7.6,3.9,5.2,ri,0,0,4.0,2.0,4.0,6.5,2021-10-10
4.7,9.1,0.7,0.2,ri,0,0,7.8,2.1,5.0,7.8,2021-10-11
8.0,9.9,4.1,0.0,,0,0,0.0,4.2,6.3,9.6,2021-10-12
5.4,10.3,4.2,11.3,ri,0,0,4.0,5.7,10.3,17.2,2021-10-13
3.2,5.8,-0.3,0.1,ri,0,0,9.1,3.0,11.9,18.5,2021-10-14
5.6,7.9,2.0,0.8,ri,0,0,0.3,3.0,6.9,11.5,2021-10-15
2.8,6.5,0.9,1.1,ri,0,0,0.7,2.9,5.1,8.4,2021-10-16
2.9,4.9,0.4,4.2,sl,1,4,0.0,7.0,10.6,16.9,2021-10-17
8.5,11.2,3.9,7.4,sl,0,0,0.0,4.7,10.1,17.4,2021-10-18
5.9,11.3,4.9,0.2,ri,0,0,7.7,5.4,9.7,15.3,2021-10-19
1.8,5.2,-0.6,0.0,,0,0,6.5,3.6,7.8,12.1,2021-10-20
5.0,7.9,0.6,0.0,,0,0,0.2,4.1,7.2,12.2,2021-10-21
4.7,5.5,1.2,0.0,,0,0,0.0,5.2,8.3,15.9,2021-10-22
7.6,9.0,4.4,7.4,ri,0,0,0.5,2.7,4.4,7.2,2021-10-23
7.8,9.8,6.8,0.6,ri,0,0,0.0,3.1,4.8,9.2,2021-10-24
4.4,8.5,3.6,2.3,ri,0,0,0.0,2.4,4.5,7.8,2021-10-25
5.5,8.1,1.9,0.2,ri,0,0,0.0,5.5,13.7,23.5,2021-10-26
4.9,7.8,4.4,2.9,ri,0,0,6.8,3.0,13.7,20.2,2021-10-27
4.9,8.0,1.8,0.0,,0,0,1.6,2.3,4.8,8.9,2021-10-28
6.2,8.6,2.9,0.1,ri,0,0,2.0,2.7,6.3,11.1,2021-10-29
5.2,10.1,3.8,0.0,,0,0,7.7,1.2,2.5,4.4,2021-10-30
2.6,5.9,0.9,0.0,,0,0,6.5,5.3,9.2,15.4,2021-10-31
2.1,4.0,0.5,0.0,,0,0,2.5,5.4,9.5,16.0,2021-11-01
-1.1,2.7,-1.7,0.0,,0,0,1.4,5.9,9.7,16.5,2021-11-02
0.9,6.4,-5.2,0.0,,0,0,0.1,3.3,6.9,11.5,2021-11-03
4.9,7.1,3.3,2.8,ri,0,0,0.0,2.9,5.9,10.5,2021-11-04
3.7,5.6,2.6,3.5,ri,0,0,0.8,2.7,5.3,10.3,2021-11-05
2.2,4.4,0.6,13.9,sl,0,2,0.0,4.1,6.2,11.3,2021-11-06
1.3,2.9,-0.9,9.4,sl,0,0,2.1,4.0,8.3,12.9,2021-11-07
5.2,7.0,1.1,8.0,ri,0,0,0.5,6.1,11.3,18.2,2021-11-08
3.9,6.8,2.8,7.4,ri,0,0,1.6,3.0,5.8,11.7,2021-11-09
1.5,4.4,1.6,1.2,ri,0,0,1.2,1.4,4.7,8.4,2021-11-10
1.4,3.3,-1.4,0.1,ri,0,0,1.0,3.7,6.0,11.6,2021-11-11
1.3,2.7,-0.7,0.0,,0,0,1.1,2.8,5.0,8.5,2021-11-12
7.1,9.0,1.5,0.0,,0,0,0.0,9.9,15.7,30.2,2021-11-13
4.9,10.6,1.9,15.0,ri,0,0,0.5,8.6,13.8,22.5,2021-11-14
2.7,5.2,0.6,7.4,sl,0,2,0.1,5.4,10.2,18.4,2021-11-15
2.0,4.0,0.4,4.7,sl,0,2,0.0,4.8,12.2,20.6,2021-11-16
-1.4,2.5,-2.8,2.8,sl,0,0,0.0,3.4,7.1,11.1,2021-11-17
2.5,4.2,-2.1,3.5,sn,0,2,0.0,2.8,6.9,12.2,2021-11-18
3.5,4.8,1.8,10.1,ri,0,0,0.4,2.7,4.8,7.6,2021-11-19
0.2,4.3,-0.9,4.1,ri,0,0,2.9,2.8,5.6,9.5,2021-11-20
4.1,6.5,-1.4,4.7,sl,0,0,0.0,4.2,7.3,11.0,2021-11-21
5.8,8.6,4.1,6.0,ri,0,0,0.0,6.1,11.7,19.1,2021-11-22
1.8,6.0,0.3,2.7,ri,0,0,0.0,3.2,8.2,14.2,2021-11-23
-0.1,1.3,-1.9,1.4,sn,0,0,0.0,4.7,9.8,18.2,2021-11-24
2.8,5.6,-1.9,3.0,sl,0,0,0.0,4.4,7.0,14.2,2021-11-25
-2.6,2.0,-4.7,4.8,ri,0,0,3.2,2.8,8.3,13.6,2021-11-26
0.2,1.5,-5.0,0.0,,0,2,0.0,2.6,4.8,7.6,2021-11-27
3.1,4.8,0.6,0.3,sl,0,0,0.0,2.2,6.2,10.3,2021-11-28
0.6,5.8,-1.9,13.8,ri,0,0,0.0,2.7,5.4,10.3,2021-11-29
-0.8,2.0,-2.0,9.0,sn,10,4,2.3,3.0,6.4,11.4,2021-11-30
-3.4,-1.3,-6.6,1.4,sn,10,4,0.8,3.4,6.6,10.7,2021-12-01
2.5,3.8,-2.5,1.7,sn,6,4,0.4,4.9,11.3,16.8,2021-12-02
-1.2,3.2,-1.9,1.0,sl,5,4,0.1,2.4,6.3,10.9,2021-12-03
-3.6,-0.5,-4.9,1.8,sn,6,4,2.8,2.0,4.5,6.6,2021-12-04
3.0,4.5,-4.9,0.0,,0,2,0.0,8.7,15.4,26.3,2021-12-05
2.4,5.4,1.6,18.2,ri,0,0,0.0,4.4,8.2,14.3,2021-12-06
-1.3,2.8,-3.2,0.6,sl,0,0,0.0,3.3,6.3,9.8,2021-12-07
0.3,2.1,-2.7,1.0,sn,0,2,0.0,5.9,9.0,13.7,2021-12-08
1.5,3.5,-0.8,3.9,sl,0,2,0.0,4.0,8.8,15.7,2021-12-09
-1.1,1.5,-4.4,2.4,sl,5,4,0.4,2.6,7.8,13.3,2021-12-10
4.2,5.5,-2.3,10.0,ri,0,2,0.0,7.6,10.9,19.1,2021-12-11
5.0,5.9,3.6,8.5,ri,0,0,0.0,5.5,9.6,14.0,2021-12-12
3.0,5.9,2.3,11.2,ri,0,0,0.0,3.1,6.7,11.5,2021-12-13
2.6,4.3,1.4,7.6,ri,0,0,0.0,4.3,9.7,20.9,2021-12-14
4.0,5.1,1.0,8.1,ri,0,0,0.0,4.7,9.8,17.0,2021-12-15
7.6,9.0,4.3,4.5,ri,0,0,0.0,8.9,12.9,20.4,2021-12-16
5.2,8.1,4.8,3.6,ri,0,0,0.0,2.6,8.3,14.6,2021-12-17
7.5,8.4,3.8,4.2,ri,0,0,0.0,3.6,5.2,8.3,2021-12-18
7.4,8.8,6.8,0.9,ri,0,0,0.0,3.2,6.6,11.4,2021-12-19
4.6,7.3,3.9,0.0,,0,0,0.0,1.2,2.9,4.3,2021-12-20
2.0,5.1,-0.4,1.0,ri,0,0,0.2,2.9,4.4,6.9,2021-12-21
1.1,3.7,-0.8,0.0,,0,0,0.0,2.8,4.7,9.5,2021-12-22
0.2,2.8,-2.0,0.0,,0,0,0.5,1.7,4.8,9.8,2021-12-23
-0.3,1.7,-2.0,0.0,,0,0,1.2,2.7,4.6,8.4,2021-12-24
2.0,3.3,0.2,0.0,,0,0,0.0,2.3,4.9,8.7,2021-12-25
0.6,3.6,-0.4,0.0,,0,0,0.0,2.1,4.5,7.6,2021-12-26
-2.6,0.8,-3.6,0.5,sn,0,2,2.0,1.4,2.6,4.2,2021-12-27
-2.2,-1.3,-6.7,0.0,,0,2,0.2,3.9,9.9,18.2,2021-12-28
-0.9,0.8,-3.3,0.1,sn,2,4,0.0,3.7,10.0,17.7,2021-12-29
-3.5,0.0,-6.4,0.0,,0,2,1.7,1.8,3.3,5.0,2021-12-30
1.1,1.7,-3.9,0.0,,0,2,0.0,5.2,6.4,11.0,2021-12-31
